秒數,韌體值
276,2.525955882
277,2.432941176
278,2.246911765
279,2.075441176
280,1.925808824
281,1.855441176
282,1.893455882
283,2.001838235
284,2.092426471
285,2.105367647
286,2.125588235
287,2.153088235
288,2.126397059
289,2.123970588
290,2.187867647
291,2.286544118
292,2.394926471
293,2.499264706
294,2.593897059
295,2.677205882
296,2.747573529
297,2.752426471
298,2.605220588
299,2.313235294
300,2.006691176
301,1.831176471
302,1.810147059
303,1.886985294
304,1.958161765
305,1.963014706
306,1.988088235
307,2.084338235
308,2.217794118
309,2.364191176
310,2.505735294
311,2.627867647
312,2.732205882
313,2.815514706
314,2.876176471
315,2.918235294
316,2.888308824
317,2.756470588
318,2.57125
319,2.365808824
320,2.224264706
321,2.191911765
322,2.232352941
323,2.312426471
324,2.408676471
325,2.512205882
326,2.559117647
327,2.508161765
328,2.456397059
329,2.460441176
330,2.494411765
331,2.546985294
332,2.609264706
333,2.670735294
334,2.732205882
335,2.786397059
336,2.771029412
337,2.658602941
338,2.499264706
339,2.26875
340,2.009926471
341,1.862720588
342,1.847352941
343,1.918529412
344,2.046323529
345,2.203235294
346,2.310808824
347,2.320514706
348,2.322941176
349,2.377941176
350,2.458014706
351,2.540514706
352,2.616544118
353,2.690147059
354,2.758897059
355,2.814705882
356,2.858382353
357,2.837352941
358,2.661029412
359,2.398161765
360,2.215367647
361,2.152279412
362,2.170073529
363,2.243676471
364,2.289779412
365,2.197573529
366,2.025294118
367,1.878088235
368,1.762426471
369,1.729264706
370,1.802867647
371,1.937941176
372,2.098897059
373,2.267132353
374,2.425661765
375,2.568823529
376,2.694191176
377,2.738676471
378,2.669926471
379,2.536470588
380,2.373088235
381,2.257426471
382,2.239632353
383,2.287352941
384,2.317279412
385,2.279264706
386,2.199191176
387,2.042279412
388,1.839264706
389,1.714705882
390,1.697720588
391,1.751102941
392,1.852205882
393,1.994558824
394,2.160367647
395,2.325367647
396,2.480661765
397,2.563161765
398,2.476617647
399,2.288161765
400,2.164411765
401,2.149852941
402,2.203235294
403,2.293014706
404,2.346397059
405,2.319705882
406,2.300294118
407,2.283308824
408,2.2
409,2.118308824
410,2.086764706
411,2.087573529
412,2.122352941
413,2.202426471
414,2.313235294
415,2.430514706
416,2.546176471
417,2.597132353
418,2.483897059
419,2.217794118
420,1.932279412
421,1.771323529
422,1.761617647
423,1.844926471
424,1.920147059
425,1.931470588
426,1.963823529
427,2.066544118
428,2.204852941
429,2.35125
430,2.487132353
431,2.603602941
432,2.704705882
433,2.79125
434,2.857573529
435,2.90125
436,2.927132353
437,2.944926471
438,2.900441176
439,2.759705882
440,2.628676471
441,2.572058824
442,2.568014706
443,2.592279412
444,2.631911765
445,2.682867647
446,2.682058824
447,2.530808824
448,2.289779412
449,2.122352941
450,2.080294118
451,2.123970588
452,2.216985294
453,2.336691176
454,2.464485294
455,2.588235294
456,2.699852941
457,2.735441176
458,2.661838235
459,2.525955882
460,2.362573529
461,2.250147059
462,2.237205882
463,2.286544118
464,2.371470588
465,2.473382353
466,2.579338235
467,2.623823529
468,2.559117647
469,2.463676471
470,2.402205882
471,2.365808824
472,2.348823529
473,2.365
474,2.415955882
475,2.487941176
476,2.57125
477,2.656985294
478,2.738676471
479,2.810661765
480,2.869705882
481,2.917426471
482,2.950588235
483,2.968382353
484,2.976470588
485,2.981323529
486,2.98375
487,2.929558824
488,2.783161765
489,2.64
490,2.566397059
491,2.548602941
492,2.568823529
493,2.609264706
494,2.661838235
495,2.717647059
496,2.766176471
497,2.809852941
498,2.851911765
499,2.889117647
500,2.919852941
501,2.943308824
502,2.960294118
503,2.968382353
504,2.910955882
505,2.759705882
506,2.564779412
507,2.301102941
508,2.001029412
509,1.792352941
510,1.702573529
511,1.696102941
512,1.758382353
513,1.880514706
514,2.042279412
515,2.219411765
516,2.335073529
517,2.343970588
518,2.343161765
519,2.335882353
520,2.267941176
521,2.224264706
522,2.254191176
523,2.325367647
524,2.420808824
525,2.526764706
526,2.631102941
527,2.726544118
528,2.795294118
529,2.816323529
530,2.798529412
531,2.761323529
532,2.717647059
533,2.690147059
534,2.690955882
535,2.712794118
536,2.687720588
537,2.576102941
538,2.419191176
539,2.248529412
540,2.140147059
541,2.135294118
542,2.195147059
543,2.293014706
544,2.408676471
545,2.468529412
546,2.428897059
547,2.387647059
548,2.408676471
549,2.466102941
550,2.541323529
551,2.622205882
552,2.700661765
553,2.768602941
554,2.826838235
555,2.876176471
556,2.86
557,2.745147059
558,2.577720588
559,2.335073529
560,2.064117647
561,1.907205882
562,1.892647059
563,1.968676471
564,2.098088235
565,2.193529412
566,2.198382353
567,2.149852941
568,2.067352941
569,2.012352941
570,2.023676471
571,2.077867647
572,2.166838235
573,2.284117647
574,2.411102941
575,2.534044118
576,2.648088235
577,2.747573529
578,2.830073529
579,2.838161765
580,2.739485294
581,2.635955882
582,2.593088235
583,2.588235294
584,2.555073529
585,2.394117647
586,2.10375
587,1.811764706
588,1.649191176
589,1.620882353
590,1.664558824
591,1.749485294
592,1.865147059
593,2.011544118
594,2.179779412
595,2.350441176
596,2.445882353
597,2.428897059
598,2.403014706
599,2.373897059
600,2.286544118
601,2.228308824
602,2.250147059
603,2.318088235
604,2.348014706
605,2.239632353
606,1.999411765
607,1.692867647
608,1.419485294
609,1.296544118
610,1.332132353
611,1.461544118
612,1.645955882
613,1.863529412
614,2.089191176
615,2.301102941
616,2.425661765
617,2.430514706
618,2.42
619,2.398970588
620,2.314044118
621,2.253382353
622,2.272794118
623,2.342352941
624,2.437794118
625,2.542941176
626,2.645661765
627,2.679632353
628,2.607647059
629,2.532426471
630,2.520294118
631,2.549411765
632,2.602794118
633,2.665882353
634,2.727352941
635,2.783161765
636,2.779117647
637,2.679632353
638,2.585
639,2.497647059
640,2.363382353
641,2.267941176
642,2.263088235
643,2.316470588
644,2.347205882
645,2.305955882
646,2.277647059
647,2.261470588
648,2.195955882
649,2.157132353
650,2.191102941
651,2.267941176
652,2.365
653,2.467720588
654,2.57125
655,2.669926471
656,2.699852941
657,2.569632353
658,2.289779412
659,1.936323529
660,1.620073529
661,1.468014706
662,1.493088235
663,1.624926471
664,1.755147059
665,1.818235294
666,1.895073529
667,2.030955882
668,2.192720588
669,2.347205882
670,2.470955882
671,2.569632353
672,2.657794118
673,2.73625
674,2.798529412
675,2.849485294
676,2.892352941
677,2.927132353
678,2.897205882
679,2.770220588
680,2.648088235
681,2.595514706
682,2.593088235
683,2.622205882
684,2.614117647
685,2.467720588
686,2.24125
687,2.040661765
688,1.865955882
689,1.763235294
690,1.764852941
691,1.829558824
692,1.934705882
693,2.073823529
694,2.226691176
695,2.377941176
696,2.520294118
697,2.591470588
698,2.555073529
699,2.451544118
700,2.31
701,2.210514706
702,2.206470588
703,2.266323529
704,2.303529412
705,2.209705882
706,1.985661765
707,1.700147059
708,1.438088235
709,1.293308824
710,1.273897059
711,1.341029412
712,1.478529412
713,1.669411765
714,1.885367647
715,2.106985294
716,2.319705882
717,2.509779412
718,2.669117647
719,2.738676471
720,2.688529412
721,2.622205882
722,2.607647059
723,2.627867647
724,2.614117647
725,2.468529412
726,2.191911765
727,1.854632353
728,1.556176471
729,1.404117647
730,1.409779412
731,1.510882353
732,1.672647059
733,1.873235294
734,2.088382353
735,2.293823529
736,2.474191176
737,2.572058824
738,2.555882353
739,2.523529412
740,2.537279412
741,2.576102941
742,2.631102941
743,2.695
744,2.702279412
745,2.556691176
746,2.322132353
747,2.105367647
748,1.914485294
749,1.804485294
750,1.804485294
751,1.877279412
752,1.992132353
753,2.126397059
754,2.265514706
755,2.398161765
756,2.522720588
757,2.582573529
758,2.482279412
759,2.225882353
760,1.947647059
761,1.793161765
762,1.786691176
